date,timestamp,action,id,title
2026-04-17,,,,
2026-04-17,2026-04-17T11:22:26,delete,0.0,
2026-04-17,2026-04-17T11:22:34,add,1776392554231.0,test
2026-04-17,2026-04-17T11:22:39,complete,1776392554231.0,test
2026-04-17,2026-04-17T11:22:41,delete,1776392554231.0,test
2026-04-17,2026-04-17T12:39:03,add,1776397143976.0,てｓｔ
2026-04-17,2026-04-17T12:43:59,add,1776397439868.0,test
2026-04-17,2026-04-17T12:44:18,delete,1776397439868.0,test
2026-04-17,2026-04-17T12:44:19,delete,1776397143976.0,てｓｔ
2026-04-17,2026-04-17T12:50:00,add,1776397800808.0,test
2026-04-17,2026-04-17T12:50:05,delete,1776397800808.0,test
2026-04-17,2026-04-17T12:50:10,add,1776397810580.0,aaa
2026-04-17,2026-04-17T12:50:13,complete,1776397810580.0,aaa
2026-04-17,2026-04-17T12:50:15,reopen,1776397810580.0,aaa
2026-04-17,2026-04-17T12:50:20,delete,1776397810580.0,aaa
2026-04-17,2026-04-17T13:19:25,add,1776399565560.0,weekly資料作成
2026-04-17,2026-04-17T13:19:57,add,1776399597421.0,uLED+CIS特許議論
2026-04-17,2026-04-17T13:20:18,add,1776399618463.0,FDXどうするか？
2026-04-17,2026-04-17T13:20:59,add,1776399659275.0,DCC狭小部の見解リリース
2026-04-17,2026-04-17T13:21:30,add,1776399690835.0,設計分岐整理
2026-04-17,2026-04-17T13:21:40,add,1776399700947.0,TCAD方向議論
2026-04-17,2026-04-17T13:21:58,add,1776399718607.0,Proto0-8 POR設計更新
2026-04-17,2026-04-17T13:22:44,add,1776399764446.0,Hybrid LELE VG取り込み方針決定
2026-04-17,2026-04-17T13:23:29,add,1776399809615.0,pot.daigram方針
2026-04-17,2026-04-17T13:35:07,add,1776400507340.0,ER
2026-04-17,2026-04-17T13:35:11,delete,1776400507340.0,ER
2026-04-17,2026-04-17T13:35:18,add,1776400518266.0,ER
2026-04-17,2026-04-17T13:39:43,add,1776400783355.0,Proto0-8設計行為棚卸
2026-04-17,2026-04-17T13:44:36,add,1776401076115.0,ばらつきsimに何をやってもらうべきか検討する
2026-04-17,2026-04-17T15:34:55,add,1776407695184.0,フルメカ20枚
2026-04-17,2026-04-17T15:45:54,complete,1776399565560.0,weekly資料作成
2026-04-19,2026-04-19T08:11:44,complete,1776399597421.0,uLED+CIS特許議論
2026-04-19,2026-04-19T08:12:11,add,1776553931567.0,設計必要案件まとめ作る
2026-04-19,2026-04-19T17:49:02,complete,1776400783355.0,Proto0-8設計行為棚卸
2026-04-19,2026-04-19T17:49:15,complete,1776553931567.0,設計必要案件まとめ作る
2026-04-19,2026-04-19T17:51:35,add,1776588695942.0,Litho対応フォロー
2026-04-19,2026-04-19T19:49:29,add,1776595769132.0,特許２次審査対応
2026-05-25,2026-05-25T11:03:56,delete,1776399659275.0,DCC狭小部の見解リリース
2026-05-25,2026-05-25T11:03:57,delete,1776399718607.0,Proto0-8 POR設計更新
2026-05-25,2026-05-25T11:03:58,delete,1776399764446.0,Hybrid LELE VG取り込み方針決定
2026-05-25,2026-05-25T11:03:59,delete,1776588695942.0,Litho対応フォロー
2026-05-25,2026-05-25T11:04:00,delete,1776399618463.0,FDXどうするか？
2026-05-25,2026-05-25T11:04:02,delete,1776399690835.0,設計分岐整理
2026-05-25,2026-05-25T11:04:02,delete,1776399700947.0,TCAD方向議論
2026-05-25,2026-05-25T11:04:03,delete,1776399809615.0,pot.daigram方針
2026-05-25,2026-05-25T11:04:04,complete,1776400518266.0,ER
2026-05-25,2026-05-25T11:04:05,complete,1776595769132.0,特許２次審査対応
2026-05-25,2026-05-25T11:04:10,complete,1776401076115.0,ばらつきsimに何をやってもらうべきか検討する
2026-05-25,2026-05-25T11:04:53,add,1779674693604.0,特許対応
2026-05-25,2026-05-25T11:05:04,add,1779674704472.0,Golumn特許対応
2026-05-25,2026-05-25T11:05:15,add,1779674715098.0,スケジュール可視化
2026-05-25,2026-05-25T11:05:33,add,1779674732998.0,Wil研修対応
