id,title,quadrant,deadline,tags,completed
1776399565560,weekly資料作成,Do (緊急かつ重要),2026-04-17,資料作成,True
1776399597421,uLED+CIS特許議論,Do (緊急かつ重要),2026-04-17,特許提案,True
1776400518266,ER,Eliminate (重要でも緊急でもない),2026-04-30,資料作成,True
1776400783355,Proto0-8設計行為棚卸,Do (緊急かつ重要),2026-04-20,社内会議,True
1776401076115,ばらつきsimに何をやってもらうべきか検討する,Delegate (緊急だが重要でない),2026-04-21,,True
1776407695184,フルメカ20枚,Schedule (重要だが緊急でない),2026-04-24,社内会議,False
1776553931567,設計必要案件まとめ作る,Schedule (重要だが緊急でない),2026-04-20,社内会議,True
1776595769132,特許２次審査対応,Eliminate (重要でも緊急でもない),2026-04-24,特許提案,True
1779674693604,特許対応,Do (緊急かつ重要),2026-05-25,特許提案,False
1779674704472,Golumn特許対応,Do (緊急かつ重要),2026-05-25,特許提案,False
1779674715098,スケジュール可視化,Do (緊急かつ重要),2026-05-25,TCAD内部対応,False
1779674732998,Wil研修対応,Do (緊急かつ重要),2026-05-25,研修対応,False
